ecole,addr,lycee,groupe_scolaire,institut
Institution AlAlaa,"avenue Lhoussine Assoussi, cplxe AlAlaa imm.C n°3",0,0,1
Complexe Scolaire Kamil  Privé,"av. Mokhtar Ben Ahmed Guernaoui, rue 40 E32",0,0,0
Cours    Harry  Prive,14 Rue Du Parc Casablanca - Maroc,0,0,0
Cours    Rameau,"3, rue Turgot, place des Iris",0,0,0
Cours    Subrini Oulfa,"18, bd Oued Abi Raqraq, Oulfa",0,0,0
Cours    Subrini Plateau,"13, rue Stephane Mallarmé, cité Plateau",0,0,0
Cours    Val d'or,"66, rue El Marrakouchi, quartier Lopez",0,0,0
Ecole Abou Taib Elmoutanabi,"hay Sadri (Bournazel) grp.4, rue 21, n°3",0,0,0
Ecole Acharaf  Privée    de Coiffure et de Beauté,"191, bd de Dakhla ",0,0,0
Ecole Achbal Ifriquia,"1, rue de Marché , Aïn Chock",0,0,0
Ecole Al Houda  Privée,"hay El Oulfa, grp. V rue 1 n°76",0,0,0
Ecole Al Jabr,"40, rue Ahmed Akrad - ex Aviateurs ",0,0,0
Ecole Al Khalifa,"bd Attadamone, Al Azhar Tr I4, rue 31 n°48",0,0,0
Ecole Al Madina Ain Sebaâ,"route de Rabat (r.p. 1), km 9 Ain Sebaâ",0,0,0
Ecole Al Madina Bellevue,"quartier Californie lot. Bellevue II, rue 3",0,0,0
Ecole Al Madina Polo,"52, avenue de Nador ",0,0,0
Ecole Al Manal,"hay Mansour III, bloc 62 n°46",0,0,0
Ecole AlAdarissa Chorrafa,"128, Lotiss. ElAdarissa , Sidi Maârouf",0,0,0
Ecole AlAhrar,"109, rue du Gharb, hay Laâyoune",0,0,0
Ecole AlAkhawayn  Privé    pour Coiffure Moderne,"33, avenue du Dix Mars, Bloc 28 Sidi Othmane",0,0,0
Ecole Alam Al Maârifa  Privée,"66, avenue Khalifa Ben Ismaïl ",0,0,0
Groupe Scolaire l'Escalade,"21, bd Dakhla -ex H ",0,1,0
Groupe Scolaire l'Horizon,"lotiss. Al Moustakbal, Sidi Maârouf",0,1,0
Groupe scolaire la cascade,"hay Rahma rue 10, n°34",0,1,0
Groupe Scolaire la Compétence Scientifique (G.s.c.s),"60, quartier Beausite, lotiss. Kamilia",0,1,0
Groupe Scolaire la Confiance,"hay Warda, rue 29 n°29",0,1,0
Groupe Scolaire la Découverte,"quartier Oulad Taleb, rue 70 n°7",0,1,0
Groupe Scolaire la farandole,bd Abdelhadi Boutaleb ex rte d'Azemmour ,0,1,0
Groupe Scolaire la Joconde,"bd Koliyate ang. bd H H, lot. Essafa",0,1,0
Groupe Scolaire La Mission,"92, bd Abderrahim Bouabid -ex Jerrada, Oasis",0,1,0
Groupe Scolaire la Nouvelle Institution,"Hay ElFath 3, rue 20 villa 25/27",0,1,0
Groupe Scolaire la Pertinence,"Hay Inara I, lot insaf, rue 1 n°75",0,1,0
Groupe Scolaire la Résidence,"36, rue Ibn Toumert ",0,1,0
Groupe Scolaire la Résidence,"89, avenue du Deux Mars ",0,1,0
Groupe Scolaire La Résidence,"157, bd Lahcen Ou Idder ",0,1,0
Groupe Scolaire La Résidence,"3, rue El Barii Dabbas - ex Grurie ",0,1,0
Groupe Scolaire la Ruche,"273, lotiss. Lina, Sidi Maârouf",0,1,0
Groupe Scolaire la Seconde Maison,"rte Bouskoura , Km 7 n°109",0,1,0
Groupe Scolaire la vallée,quartier Lissasfa (route d'El Jadida) ,0,1,0
Groupe Scolaire Lamartine,"route Moulay Thami (hay Saada), Al Mars",0,1,0
Groupe scolaire Le Carrefour,"qu. les Crêtes, Lot Fan Fan, rue 1 N°3",0,1,0
Lycée Abouchihab  privé,"Lot. Missimi, rue 4 n°53",1,0,0
Lycée Almaârifa,"27, rue de Rome, Al Fidae",1,0,0
Lycee Anisse,"bd Chefchaouni, lotiss. El Fal n°9",1,0,0
Lycée Anwal  Privé,"1270, bd El Fida Prolongé, hay chifa III",1,0,0
Lycée Cordoba El Oulfa,"hay El Oulfa, grp. U rue 25 n°67",1,0,0
Lycée ElAfifi,"173, bd Oqba Bnou Nafiaa ",1,0,0
Lycée ElFarah,"hay Amal II (AlFida), rue 68, n°3",1,0,0
Lycée Khalid Ben El Walid,"391, bd El Moutanna Benharita - ex D ",1,0,0
Lycée Koutoubia,"cité Jemaa, hay Bouanania, rue 22 n°37",1,0,0
Lycée le Cèdre,"40, bd Mohamed Abdou ",1,0,0
Lycée Maïmonide,"8, rue d' Indochine ",1,0,0
Lycée  Privé    Kourtoba,"Hay Oulfa , grpe U rue 25 n°67",1,0,0
Lycée Racine,"derb Habbous, rue 15 n°10",1,0,0
Lycée Victor Hugo,"20, rue Ibn El Khatib ",1,0,0
Madaris Anisse,"148, bd Chefchaouni ",0,0,0
Mandela School,"60, rue Capitaine Thiriat ",0,0,0
"Med Méties, L'Institut Supériuer  Privé    des Métiers Industriels (Med Métiers (Siège))","bd El Qods, q. Californie",0,0,0
Nouveau Monde,"lotiss. Soufian , lot. n°11 Sidi Maârouf",0,0,0
Perfect  Cours     Prive,"237, Bd Zerktouni, 2eme Etage, Casablanca - Maroc",0,0,0
Riad Al Manahile  Privé,"49, allée des Figuiers ",0,0,0
Sanounou,"131, lotiss. Florida , Sidi Maarouf",0,0,0
Sanounou 2,"25, lotiss. Salama , Sidi Maârouf",0,0,0
Silver School  Privée,"193, rue des Thermes ",0,0,0
Sin'Arte,"hay El Oulfa, grp. I, rue 175, n°11",0,0,0
Tajani  Prive,"lotiss. Zahr III, lot. 28-29",0,0,0
Telecom Academy ( privé   ),"Lotiss. Attaoufik , imm. le Shadow, 3°ét. lot. 9 et 10",0,0,0
